mlbam_id,player_name,team,weekly_pa,weekly_ab,weekly_r,weekly_hr,weekly_rbi,weekly_sb,weekly_h,weekly_bb,weekly_hbp,weekly_sf,weekly_obp,weekly_ip,weekly_w,weekly_sv,weekly_k,weekly_er,weekly_pitch_h,weekly_pitch_bb,weekly_era,weekly_whip
687749,Jase Bowen,SD,6,5,2,0,2,0,2,0,1,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
671345,Jason Foley,SF,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,0,0,0.00,0.00
691176,Jasson Domínguez,NYY,16,16,1,0,0,0,2,0,0,0,0.125,0.0,0,0,0,0,0,0,0.00,0.00
691594,Javier Sanoja,MIA,11,11,1,0,0,0,2,0,0,0,0.182,0.0,0,0,0,0,0,0,0.00,0.00
665862,Jazz Chisholm Jr.,NYY,14,14,3,1,1,0,4,0,0,0,0.286,0.0,0,0,0,0,0,0,0.00,0.00
676105,Jeff Criswell,COL,0,0,0,0,0,0,0,0,0,0,0.000,2.0,0,0,1,2,3,1,9.00,2.00
656546,Jeff Hoffman,TOR,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,2,0,0,1,0.00,1.00
643446,Jeff McNeil,ATH,6,5,3,0,2,0,3,1,0,0,0.667,0.0,0,0,0,0,0,0,0.00,0.00
669236,Jeremiah Jackson,BAL,3,1,0,0,1,0,0,1,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
665161,Jeremy Peña,HOU,7,5,2,0,0,0,3,2,0,0,0.714,0.0,0,0,0,0,0,0,0.00,0.00
666200,Jesús Luzardo,PHI,0,0,0,0,0,0,0,0,0,0,0.000,6.0,1,0,8,1,2,2,1.50,0.67
661395,Jhoan Duran,PHI,0,0,0,0,0,0,0,0,0,0,0.000,1.2,0,0,0,0,2,0,0.00,1.20
666745,Jhony Brito,SD,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,1,0,1,0,0.00,1.00
805347,Jim Jarvis,ATL,13,12,3,0,1,0,3,0,1,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
699625,Jimmy Crooks,STL,5,4,1,1,1,0,2,1,0,0,0.600,0.0,0,0,0,0,0,0,0.00,0.00
623474,Jimmy Herget,COL,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,1,2,2,0,27.00,3.00
666176,Jo Adell,LAA,12,12,0,0,0,0,0,0,0,0,0.000,0.0,0,0,0,0,0,0,0.00,0.00
592626,Joc Pederson,TEX,8,8,4,1,1,0,4,0,0,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
691788,Joe Mack,MIA,8,8,0,0,1,0,1,0,0,0,0.125,0.0,0,0,0,0,0,0,0.00,0.00
657746,Joe Ryan,AL,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,2,0,1,0,0.00,1.00
663698,Joey Bart,ATL,4,2,0,0,0,0,0,1,1,0,0.500,0.0,0,0,0,0,0,0,0.00,0.00
676282,Joey Cantillo,CLE,0,0,0,0,0,0,0,0,0,0,0.000,5.0,0,0,7,4,7,3,7.20,2.00
687401,Joey Ortiz,MIL,11,8,2,1,1,2,2,3,0,0,0.455,0.0,0,0,0,0,0,0,0.00,0.00
670167,John Schreiber,KC,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,0,0,0,0,0.00,0.00
641680,Jonah Heim,ATH,9,9,0,0,1,0,2,0,0,0,0.222,0.0,0,0,0,0,0,0,0.00,0.00
682729,Jonatan Clase,TOR,6,5,0,0,0,0,0,1,0,0,0.167,0.0,0,0,0,0,0,0,0.00,0.00
666018,Jonathan Aranda,TB,14,12,0,0,0,0,1,2,0,0,0.214,0.0,0,0,0,0,0,0,0.00,0.00
680742,Jonathan Bowlan,PHI,0,0,0,0,0,0,0,0,0,0,0.000,1.0,0,0,0,0,0,1,0.00,1.00
642528,Jonathan Loáisiga,AZ,0,0,0,0,0,0,0,0,0,0,0.000,0.2,0,0,1,0,1,1,0.00,3.00
676356,Jonny DeLuca,TB,13,13,1,1,3,0,4,0,0,0,0.308,0.0,0,0,0,0,0,0,0.00,0.00
